time,EMA
2019-01-08,112.4789
2019-01-07,112.6086
2019-01-04,112.7711
2019-01-03,112.9516
2019-01-02,113.2147
2018-12-31,113.4419
2018-12-28,113.7013
2018-12-27,113.9773
2018-12-26,114.2455
2018-12-24,114.5619
2018-12-21,114.9530
2018-12-20,115.2917
2018-12-19,115.6000
2018-12-18,115.8536
2018-12-17,116.1085
2018-12-14,116.3782
2018-12-13,116.5855
2018-12-12,116.7822
2018-12-11,116.9751
2018-12-10,117.1768
2018-12-07,117.3782
2018-12-06,117.6157
2018-12-04,117.7763
2018-12-03,117.9814
2018-11-30,118.1244
2018-11-29,118.2888
2018-11-28,118.5065
2018-11-27,118.7013
2018-11-26,118.9532
2018-11-23,119.2186
2018-11-21,119.5318
2018-11-20,119.8266
2018-11-19,120.1518
2018-11-16,120.4280
2018-11-15,120.6872
2018-11-14,120.9540
2018-11-13,121.2484
2018-11-12,121.5373
2018-11-09,121.8309
2018-11-08,122.0833
2018-11-07,122.3436
2018-11-06,122.6112
2018-11-05,122.9145
2018-11-02,123.2779
2018-11-01,123.7262
2018-10-31,124.1631
2018-10-30,124.6335
2018-10-29,125.1140
2018-10-26,125.5293
2018-10-25,125.8620
2018-10-24,126.1722
2018-10-23,126.4752
2018-10-22,126.7138
2018-10-19,126.9781
2018-10-18,127.2641
2018-10-17,127.5302
2018-10-16,127.7399
2018-10-15,127.7584
2018-10-12,127.8477
2018-10-11,127.9438
2018-10-10,128.0741
2018-10-09,128.1423
2018-10-08,128.1315
2018-10-05,128.1001
2018-10-04,128.0569
2018-10-03,127.9725
2018-10-02,127.8527
2018-10-01,127.7211
2018-09-28,127.6001
2018-09-27,127.5083
2018-09-26,127.4094
2018-09-25,127.3067
2018-09-24,127.2495
2018-09-21,127.1714
2018-09-20,127.0685
2018-09-19,126.9669
2018-09-18,126.9003
2018-09-17,126.8411
2018-09-14,126.7916
2018-09-13,126.7343
2018-09-12,126.6648
2018-09-11,126.6360
2018-09-10,126.6080
2018-09-07,126.5943
2018-09-06,126.5838
2018-09-05,126.5566
2018-09-04,126.5240
2018-08-31,126.5080
2018-08-30,126.4776
2018-08-29,126.4563
2018-08-28,126.4062
2018-08-27,126.3718
2018-08-24,126.3349
2018-08-23,126.3088
2018-08-22,126.2940
2018-08-21,126.2811
2018-08-20,126.2551
2018-08-17,126.2191
2018-08-16,126.1903
2018-08-15,126.1736
2018-08-14,126.1818
2018-08-13,126.1999
2018-08-10,126.2299
2018-08-09,126.2292
2018-08-08,126.2233
2018-08-07,126.2077
2018-08-06,126.1898
2018-08-03,126.1885
2018-08-02,126.1581
2018-08-01,126.2099
2018-07-31,126.2533
2018-07-30,126.2725
2018-07-27,126.2824
2018-07-26,126.2984
2018-07-25,126.2875
2018-07-24,126.2780
2018-07-23,126.2724
2018-07-20,126.2786
2018-07-19,126.2736
2018-07-18,126.2180
2018-07-17,126.2437
2018-07-16,126.2880
2018-07-13,126.2987
2018-07-12,126.3019
2018-07-11,126.2957
2018-07-10,126.3156
2018-07-09,126.3400
2018-07-06,126.3704
2018-07-05,126.4349
2018-07-03,126.5189
2018-07-02,126.6372
2018-06-29,126.7528
2018-06-28,126.8735
2018-06-27,126.9907
2018-06-26,127.1550
2018-06-25,127.2946
2018-06-22,127.4422
2018-06-21,127.5492
2018-06-20,127.6590
2018-06-19,127.7468
2018-06-18,127.8142
2018-06-15,127.8729
2018-06-14,127.9169
2018-06-13,127.9650
2018-06-12,127.9941
2018-06-11,128.0146
2018-06-08,128.0407
2018-06-07,128.0749
2018-06-06,128.1235
2018-06-05,128.1844
2018-06-04,128.2642
2018-06-01,128.3571
2018-05-31,128.4709
2018-05-30,128.5982
2018-05-29,128.7052
2018-05-25,128.8388
2018-05-24,128.9328
2018-05-23,129.0212
2018-05-22,129.1010
2018-05-21,129.1750
2018-05-18,129.2435
2018-05-17,129.3380
2018-05-16,129.4271
2018-05-15,129.5157
2018-05-14,129.6217
2018-05-11,129.7200
2018-05-10,129.8231
2018-05-09,129.9266
2018-05-08,130.0606
2018-05-07,130.2177
2018-05-04,130.3741
2018-05-03,130.5219
2018-05-02,130.7057
2018-05-01,130.8853
2018-04-30,131.0245
2018-04-27,131.1673
2018-04-26,131.2866
2018-04-25,131.4042
2018-04-24,131.5376
2018-04-23,131.6803
2018-04-20,131.8207
2018-04-19,131.9806
2018-04-18,132.0953
2018-04-17,132.1934
2018-04-16,132.0842
2018-04-13,132.0249
2018-04-12,131.9849
2018-04-11,131.9205
2018-04-10,131.9016
2018-04-09,131.8819
2018-04-06,131.9084
2018-04-05,131.9720
2018-04-04,131.9772
2018-04-03,131.9809
2018-04-02,132.0584
2018-03-29,132.1338
2018-03-28,132.1526
2018-03-27,132.1874
2018-03-26,132.2336
2018-03-23,132.2554
2018-03-22,132.3551
2018-03-21,132.4015
2018-03-20,132.3694
2018-03-19,132.3451
2018-03-16,132.3005
2018-03-15,132.2046
2018-03-14,132.1181
2018-03-13,132.0555
2018-03-12,131.9710
2018-03-09,131.8685
2018-03-08,131.7804
2018-03-07,131.7440
2018-03-06,131.6704
2018-03-05,131.6403
2018-03-02,131.5883
2018-03-01,131.5778
2018-02-28,131.5788
2018-02-27,131.5449
2018-02-26,131.4979
2018-02-23,131.4149
2018-02-22,131.3830
2018-02-21,131.3910
2018-02-20,131.3856
2018-02-16,131.3594
2018-02-15,131.3150
2018-02-14,131.2727
2018-02-13,131.2511
